ID,DATE,TIME,NAME,SRC,TYPE,GROUP
20240903084944865,20240903,084944865,code,./input/icons\code.svg,,
20240903084944866,20240903,084944866,codepen,./input/icons\codepen.svg,,
20240903084944867,20240903,084944867,codesandbox,./input/icons\codesandbox.svg,,
20240903084944868,20240903,084944868,coffee,./input/icons\coffee.svg,,
20240903084944869,20240903,084944869,cog,./input/icons\cog.svg,,
20240903084944870,20240903,084944870,coins,./input/icons\coins.svg,,
20240903084944871,20240903,084944871,columns,./input/icons\columns.svg,,
20240903084944872,20240903,084944872,combine,./input/icons\combine.svg,,
20240903084944873,20240903,084944873,command,./input/icons\command.svg,,
20240903084944874,20240903,084944874,compass,./input/icons\compass.svg,,
20240903084944875,20240903,084944875,component,./input/icons\component.svg,,
20240903084944876,20240903,084944876,concierge-bell,./input/icons\concierge-bell.svg,,
20240903084944877,20240903,084944877,construction,./input/icons\construction.svg,,
20240903084944878,20240903,084944878,contact-2,./input/icons\contact-2.svg,,
20240903084944879,20240903,084944879,contact,./input/icons\contact.svg,,
20240903084944880,20240903,084944880,contrast,./input/icons\contrast.svg,,
20240903084944881,20240903,084944881,cookie,./input/icons\cookie.svg,,
20240903084944882,20240903,084944882,copy-check,./input/icons\copy-check.svg,,
20240903084944883,20240903,084944883,copy-minus,./input/icons\copy-minus.svg,,
20240903084944884,20240903,084944884,copy-plus,./input/icons\copy-plus.svg,,
20240903084944885,20240903,084944885,copy-slash,./input/icons\copy-slash.svg,,
20240903084944886,20240903,084944886,copy-x,./input/icons\copy-x.svg,,
20240903084944887,20240903,084944887,copy,./input/icons\copy.svg,,
20240903084944888,20240903,084944888,copyleft,./input/icons\copyleft.svg,,
20240903084944889,20240903,084944889,corner-down-left,./input/icons\corner-down-left.svg,,
20240903084944890,20240903,084944890,corner-down-right,./input/icons\corner-down-right.svg,,
20240903084944891,20240903,084944891,corner-left-down,./input/icons\corner-left-down.svg,,
20240903084944892,20240903,084944892,corner-left-up,./input/icons\corner-left-up.svg,,
20240903084944893,20240903,084944893,corner-right-down,./input/icons\corner-right-down.svg,,
20240903084944894,20240903,084944894,corner-right-up,./input/icons\corner-right-up.svg,,
20240903084944895,20240903,084944895,corner-up-left,./input/icons\corner-up-left.svg,,
20240903084944896,20240903,084944896,corner-up-right,./input/icons\corner-up-right.svg,,
20240903084944897,20240903,084944897,cpu,./input/icons\cpu.svg,,
20240903084944898,20240903,084944898,creative-commons,./input/icons\creative-commons.svg,,
20240903084944899,20240903,084944899,credit-card,./input/icons\credit-card.svg,,
20240903084944900,20240903,084944900,croissant,./input/icons\croissant.svg,,
20240903084944901,20240903,084944901,crop,./input/icons\crop.svg,,
20240903084944902,20240903,084944902,cross,./input/icons\cross.svg,,
20240903084944903,20240903,084944903,crosshair,./input/icons\crosshair.svg,,
20240903084944904,20240903,084944904,crown,./input/icons\crown.svg,,
20240903084944905,20240903,084944905,cup-soda,./input/icons\cup-soda.svg,,
20240903084944906,20240903,084944906,currency,./input/icons\currency.svg,,
20240903084944907,20240903,084944907,database-backup,./input/icons\database-backup.svg,,
20240903084944908,20240903,084944908,database,./input/icons\database.svg,,
20240903084944909,20240903,084944909,delete,./input/icons\delete.svg,,
20240903084944910,20240903,084944910,dessert,./input/icons\dessert.svg,,
20240903084944911,20240903,084944911,diamond,./input/icons\diamond.svg,,
20240903084944912,20240903,084944912,dice-1,./input/icons\dice-1.svg,,
20240903084944913,20240903,084944913,dice-2,./input/icons\dice-2.svg,,
20240903084944914,20240903,084944914,dice-3,./input/icons\dice-3.svg,,
20240903084944915,20240903,084944915,dice-4,./input/icons\dice-4.svg,,
20240903084944916,20240903,084944916,dice-5,./input/icons\dice-5.svg,,
20240903084944917,20240903,084944917,dice-6,./input/icons\dice-6.svg,,
